Date,DateAsInteger,Year,MonthNo,YearMonthNo,YearMonth,MonthShort,MonthLong,WeekNo,WeekDay,WeekDayShort,Quarter,YearQuarter
1967-10-03 00:00:00.000,"19671003",1967,"10","1967/10","1967/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1967/Q4"
1967-10-10 00:00:00.000,"19671010",1967,"10","1967/10","1967/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1967/Q4"
1967-10-17 00:00:00.000,"19671017",1967,"10","1967/10","1967/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1967/Q4"
1967-10-24 00:00:00.000,"19671024",1967,"10","1967/10","1967/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1967/Q4"
1967-10-31 00:00:00.000,"19671031",1967,"10","1967/10","1967/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1967/Q4"
1968-10-01 00:00:00.000,"19681001",1968,"10","1968/10","1968/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1968/Q4"
1968-10-08 00:00:00.000,"19681008",1968,"10","1968/10","1968/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1968/Q4"
1968-10-15 00:00:00.000,"19681015",1968,"10","1968/10","1968/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1968/Q4"
1968-10-22 00:00:00.000,"19681022",1968,"10","1968/10","1968/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1968/Q4"
1968-10-29 00:00:00.000,"19681029",1968,"10","1968/10","1968/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1968/Q4"
1969-10-07 00:00:00.000,"19691007",1969,"10","1969/10","1969/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1969/Q4"
1969-10-14 00:00:00.000,"19691014",1969,"10","1969/10","1969/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1969/Q4"
1969-10-21 00:00:00.000,"19691021",1969,"10","1969/10","1969/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1969/Q4"
