Employee ID,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost,Customer S.,Communication,Leadership D.,Project M.,Technical S.
1001,21-Sep-22,Customer Service,Internal,Failed,Port Greg,Amanda Daniels,4,510.83,YES,NO,NO,YES,YES
1002,19-Jul-23,Leadership Development,Internal,Failed,Brandonview,Brittany Chambers,2,582.37,NO,NO,YES,YES,YES
1003,24-Feb-23,Technical Skills,Internal,Incomplete,Port Briannahaven,Brittany Chambers,4,777.06,NO,NO,NO,YES,YES
1004,12-Jan-23,Customer Service,Internal,Completed,Knightborough,Brittany Chambers,2,824.3,YES,NO,NO,YES,YES
1005,12-May-23,Communication Skills,Internal,Passed,Bruceshire,Brittany Chambers,4,145.99,NO,YES,NO,YES,YES
1006,08-May-23,Project Management,Internal,Failed,Erinfort,Brittany Chambers,2,838.07,NO,NO,NO,YES,YES
1007,14-May-23,Leadership Development,External,Failed,New Christopher,Brittany Chambers,2,667.32,NO,NO,YES,YES,YES
1008,02-Aug-23,Technical Skills,External,Incomplete,Lowemouth,Brittany Chambers,2,758.18,NO,NO,NO,YES,YES
1009,21-Aug-22,Customer Service,Internal,Incomplete,Johnland,Brittany Chambers,2,101.21,YES,NO,NO,YES,YES
1010,19-Aug-22,Communication Skills,Internal,Incomplete,Lake Kimfurt,Brittany Chambers,5,332.25,NO,YES,NO,YES,YES
1011,06-Nov-22,Communication Skills,Internal,Completed,Smithshire,Brittany Chambers,1,803.98,NO,YES,NO,YES,YES
1012,28-Mar-23,Technical Skills,External,Failed,Howardburgh,Brittany Chambers,3,887.08,NO,NO,NO,YES,YES
1013,08-Apr-23,Project Management,External,Incomplete,East Jessicatown,Brittany Chambers,2,657.85,NO,NO,NO,YES,YES
1014,21-Feb-23,Customer Service,External,Incomplete,Watersview,Brittany Chambers,2,895.49,YES,NO,NO,YES,YES
1015,13-May-23,Leadership Development,External,Passed,Port Ninaland,Brittany Chambers,1,539,NO,NO,YES,YES,YES
1016,30-Apr-23,Communication Skills,Internal,Completed,Lake Stuartfurt,Brittany Chambers,2,606.68,NO,YES,NO,YES,YES
1017,14-Nov-22,Technical Skills,External,Passed,Cooleybury,Brittany Chambers,3,265.73,NO,NO,NO,YES,YES
1018,25-Mar-23,Project Management,Internal,Incomplete,Larsonborough,Brittany Chambers,2,673.29,NO,NO,NO,YES,YES
1019,26-Oct-22,Project Management,External,Passed,Powellland,Jon Garcia,5,436.98,NO,NO,NO,YES,YES
1020,30-Dec-22,Technical Skills,External,Passed,Chadport,Jon Garcia,4,578.58,NO,NO,NO,YES,YES
1021,10-Mar-23,Technical Skills,Internal,Failed,Patrickhaven,Jon Garcia,1,647.16,NO,NO,NO,YES,YES
1022,12-Jan-23,Project Management,Internal,Failed,Lindseyburgh,Jon Garcia,1,664.23,NO,NO,NO,YES,YES
1023,19-Oct-22,Project Management,Internal,Failed,West Justinborough,Jon Garcia,4,893.07,NO,NO,NO,YES,YES
1024,11-Oct-22,Project Management,External,Completed,Hullmouth,Jon Garcia,5,868.98,NO,NO,NO,YES,YES
1025,13-Jan-23,Project Management,Internal,Incomplete,Thompsonbury,Jon Garcia,5,761.95,NO,NO,NO,YES,YES
1026,17-Apr-23,Communication Skills,Internal,Incomplete,Cynthiachester,Jon Garcia,4,431.57,NO,YES,NO,YES,YES
1027,16-Mar-23,Communication Skills,Internal,Incomplete,East Jackstad,Jon Garcia,4,357.57,NO,YES,NO,YES,YES
1028,19-Jan-23,Technical Skills,Internal,Incomplete,East Christopher,Jon Garcia,3,804.06,NO,NO,NO,YES,YES
1029,25-Feb-23,Project Management,Internal,Failed,Lake Anthonyton,Jon Garcia,5,729.41,NO,NO,NO,YES,YES
1030,04-Jan-23,Communication Skills,Internal,Completed,Longton,Jon Garcia,1,169.46,NO,YES,NO,YES,YES
1031,26-Dec-22,Communication Skills,Internal,Failed,New Williamland,Jon Garcia,1,833.28,YES,YES,YES,YES,YES
1032,07-Dec-22,Technical Skills,External,Completed,New Jackie,Jon Garcia,3,482.23,YES,YES,YES,YES,YES
1033,20-Jun-23,Communication Skills,Internal,Incomplete,Smithshire,Jon Garcia,4,169.85,NO,YES,NO,YES,YES
1034,10-Nov-22,Leadership Development,Internal,Failed,Lake Anthony,Jon Garcia,1,570.62,NO,NO,YES,YES,YES
1035,11-Mar-23,Communication Skills,Internal,Completed,New Nancy,Joseph Mendoza,2,724.14,NO,YES,NO,YES,YES
1036,10-Dec-22,Customer Service,External,Failed,Michaelmouth,Joseph Mendoza,3,305.98,YES,NO,NO,YES,YES
1037,25-Oct-22,Leadership Development,Internal,Failed,North Stephanie,Joseph Mendoza,2,646.76,NO,NO,YES,YES,YES
1038,28-Jul-23,Customer Service,External,Failed,Jamesland,Joseph Mendoza,2,516.89,YES,NO,NO,YES,YES
1039,24-Jan-23,Customer Service,External,Passed,East Williamport,Joseph Mendoza,5,520.41,YES,NO,NO,YES,YES
1040,01-Dec-22,Technical Skills,Internal,Completed,Robertsmouth,Joseph Mendoza,5,712.84,NO,NO,NO,YES,YES
1041,07-Mar-23,Customer Service,Internal,Completed,Reesefurt,Joseph Mendoza,3,871.12,YES,NO,NO,YES,YES
1042,05-Oct-22,Project Management,Internal,Passed,New Jesusfort,Joseph Mendoza,1,228.11,NO,NO,NO,YES,YES
1043,10-Aug-22,Communication Skills,Internal,Completed,West Danielside,Joseph Mendoza,2,289.93,NO,YES,NO,YES,YES
1044,13-Sep-22,Technical Skills,External,Incomplete,Smithborough,Joseph Mendoza,4,920.78,NO,NO,NO,YES,YES
1045,11-Jun-23,Customer Service,External,Completed,West Josephport,Joseph Mendoza,2,690.41,YES,NO,NO,YES,YES
1046,28-Jul-23,Leadership Development,Internal,Failed,Lake Jose,Joseph Mendoza,2,211.39,NO,NO,YES,YES,YES
